[23:33:01] [INFO] received Windows console close event; shutting log-core down
[23:33:20] [INFO] received Windows console close event; shutting log-core down
[23:33:31] [INFO] received Windows console close event; shutting log-core down
[23:34:02] [INFO] received Windows console close event; shutting log-core down
[23:36:11] [INFO] received Windows console close event; shutting log-core down
[01:45:44] [INFO] received Windows console close event; shutting log-core down
[01:46:02] [INFO] received Windows console close event; shutting log-core down
[01:49:45] [INFO] received Windows console close event; shutting log-core down
[01:50:52] [INFO] received Windows console close event; shutting log-core down
[01:52:21] [INFO] received Windows console close event; shutting log-core down
[01:53:42] [INFO] received Windows console close event; shutting log-core down
[01:59:23] [INFO] received Windows console close event; shutting log-core down
[02:07:01] [INFO] received Windows console close event; shutting log-core down
[02:11:57] [INFO] received Windows console close event; shutting log-core down
[02:15:49] [INFO] received Windows console close event; shutting log-core down
[02:18:36] [INFO] received Windows console close event; shutting log-core down
[12:11:23] [INFO] received Windows console close event; shutting log-core down
[12:20:18] [INFO] received Windows console close event; shutting log-core down
[12:43:20] [INFO] received Windows console close event; shutting log-core down
[12:50:21] [INFO] received Windows console close event; shutting log-core down
[13:16:06] [INFO] received Windows console close event; shutting log-core down
[13:20:06] [INFO] received Windows console close event; shutting log-core down
[16:03:48] [INFO] received Windows console close event; shutting log-core down
[16:04:46] [INFO] received Windows console close event; shutting log-core down
[16:16:00] [INFO] received Windows console close event; shutting log-core down
[22:29:56] [INFO] received Windows console close event; shutting log-core down
[22:45:04] [INFO] received Windows console close event; shutting log-core down
[22:45:49] [INFO] received Windows console close event; shutting log-core down
[23:36:14] [INFO] received Windows console close event; shutting log-core down
[23:36:42] [INFO] received Windows console close event; shutting log-core down
[23:37:45] [INFO] received Windows console close event; shutting log-core down
[23:40:33] [INFO] received Windows console close event; shutting log-core down
[00:28:27] [INFO] received Windows console close event; shutting log-core down
[00:30:51] [INFO] received Windows console close event; shutting log-core down
[00:38:24] [INFO] received Windows console close event; shutting log-core down
[13:48:38] [INFO] received Windows console close event; shutting log-core down
[15:16:56] [INFO] received Windows console close event; shutting log-core down
[15:30:18] [INFO] received Windows console close event; shutting log-core down
[15:59:56] [INFO] received Windows console close event; shutting log-core down
[16:02:57] [INFO] received Windows console close event; shutting log-core down
[16:05:20] [INFO] received Windows console close event; shutting log-core down
[16:16:46] [INFO] received Windows console close event; shutting log-core down
[16:34:22] [INFO] received Windows console close event; shutting log-core down
[16:36:07] [INFO] received Windows console close event; shutting log-core down
[16:38:52] [INFO] received Windows console close event; shutting log-core down
[16:41:32] [INFO] received Windows console close event; shutting log-core down
[20:17:57] [INFO] received Windows console close event; shutting log-core down
[20:29:48] [INFO] received Windows console close event; shutting log-core down
[21:06:19] [INFO] received Windows console close event; shutting log-core down
[21:10:39] [INFO] received Windows console close event; shutting log-core down
[21:25:51] [INFO] received Windows console close event; shutting log-core down
[21:30:57] [INFO] received Windows console close event; shutting log-core down
[21:35:57] [INFO] received Windows console close event; shutting log-core down
[21:41:38] [INFO] received Windows console close event; shutting log-core down
[21:44:30] [INFO] received Windows console close event; shutting log-core down
[21:47:00] [INFO] received Windows console close event; shutting log-core down
[21:49:09] [INFO] received Windows console close event; shutting log-core down
[21:51:17] [INFO] received Windows console close event; shutting log-core down
[21:52:46] [INFO] received Windows console close event; shutting log-core down
[21:53:28] [INFO] received Windows console close event; shutting log-core down
[21:54:40] [INFO] received Windows console close event; shutting log-core down
[21:56:24] [INFO] received Windows console close event; shutting log-core down
[21:57:06] [INFO] received Windows console close event; shutting log-core down
[21:59:19] [INFO] received Windows console close event; shutting log-core down
[22:02:54] [INFO] received Windows console close event; shutting log-core down
[22:06:53] [INFO] received Windows console close event; shutting log-core down
[22:15:32] [INFO] received Windows console close event; shutting log-core down
[22:19:29] [INFO] received Windows console close event; shutting log-core down
[22:54:54] [INFO] received Windows console close event; shutting log-core down
[01:25:06] [INFO] received Windows console close event; shutting log-core down
[01:26:31] [INFO] received Windows console close event; shutting log-core down
[14:48:54] [INFO] received Windows console close event; shutting log-core down
[14:49:52] [INFO] received Windows console close event; shutting log-core down
[14:57:28] [INFO] received Windows console close event; shutting log-core down
[15:02:24] [INFO] received Windows console close event; shutting log-core down
[15:21:37] [INFO] received Windows console close event; shutting log-core down
[15:27:32] [INFO] received Windows console close event; shutting log-core down
[15:30:04] [INFO] received Windows console close event; shutting log-core down
[15:37:04] [INFO] received Windows console close event; shutting log-core down
[15:40:37] [INFO] received Windows console close event; shutting log-core down
[15:55:07] [INFO] received Windows console close event; shutting log-core down
[15:55:39] [INFO] received Windows console close event; shutting log-core down
[16:09:12] [INFO] received Windows console close event; shutting log-core down
[16:21:43] [INFO] received Windows console close event; shutting log-core down
[21:27:47] [INFO] received Windows console close event; shutting log-core down
[17:57:36] [INFO] received Windows console close event; shutting log-core down
